SNo.,l1Size,l1nl2ratio,l1assoc,l2assoc,l1Latency,l2Latency,blkSize,simSeconds,hostInstRate,numCycles,cpu.cpi,cpu.ipc,dcache.overallMissRate::total,dcache.overallAvgMissLatency::total,icache.overallMissRate::total,icache.overallAvgMissLatency::total,l2cache.overallMissRate::total,l2cache.overallAvgMissLatency::total
237,128kB,4,4,16,5,30,8,0.032925,1025439.0,19751239.0,8.912724,0.112199,0.000533,185764.418182,0.000186,183057.4375,0.987217,167362.483068
238,64kB,4,2,16,5,30,4,0.022953,1006890.0,13769217.0,9.025243,0.1108,0.000754,186097.818182,0.000271,181202.614065,0.980469,167219.692231
239,128kB,8,4,8,5,30,0,0.006804,924155.0,4081647.0,9.159582,0.109175,0.002395,184677.079545,0.000936,182399.526224,0.987167,166518.297
240,128kB,8,2,16,5,30,4,0.022953,1004391.0,13769217.0,9.025243,0.1108,0.000754,186097.818182,0.000271,181202.614065,0.980469,167219.692231
241,128kB,2,2,8,5,20,0,0.006772,899091.0,4062122.0,9.115766,0.1097,0.002395,152659.313636,0.000949,148170.432759,0.979432,133793.42
242,64kB,4,2,8,5,30,0,0.006806,855898.0,4082575.0,9.161664,0.10915,0.002395,185900.809091,0.000949,181737.489655,0.979432,167571.841
243,128kB,2,2,16,5,20,4,0.02292,1002090.0,13749189.0,9.012115,0.110962,0.000754,153723.920455,0.000271,148368.718696,0.980469,134264.895418
244,128kB,4,2,16,3,20,8,0.01979,1030571.0,11871526.0,5.357013,0.186671,0.000533,145495.002273,0.000188,142318.337907,0.980469,133939.465139
245,64kB,4,2,16,3,30,4,0.013841,1033086.0,8302873.0,5.442244,0.183748,0.000754,179835.202273,0.000271,175486.777015,0.980469,167950.25
246,64kB,8,2,8,5,30,4,0.022953,1018404.0,13769217.0,9.025243,0.1108,0.000754,186097.818182,0.000271,181202.614065,0.980469,167219.692231
247,128kB,4,2,8,3,20,4,0.013807,1026892.0,8282363.0,5.428801,0.184203,0.000754,146237.575,0.000271,142198.245283,0.980469,134195.160359
248,64kB,2,4,8,5,20,0,0.006771,909625.0,4062036.0,9.115573,0.109702,0.002395,153197.3,0.000936,149461.704545,0.987167,134010.13
249,128kB,4,4,16,3,20,0,0.004117,909787.0,2469856.0,5.542578,0.180421,0.002395,144873.665909,0.000936,144055.611888,0.987167,134003.462
250,64kB,2,2,16,5,30,4,0.022953,954361.0,13769217.0,9.025243,0.1108,0.000754,186097.818182,0.000271,181202.614065,0.980469,167219.692231
251,64kB,2,2,16,3,20,0,0.004118,928682.0,2470079.0,5.543079,0.180405,0.002395,145934.484091,0.000949,141973.791379,0.979432,134041.803
252,64kB,4,2,8,5,20,4,0.02292,1001430.0,13749189.0,9.012115,0.110962,0.000754,153723.920455,0.000271,148368.718696,0.980469,134264.895418
253,128kB,2,4,8,3,30,4,0.01384,962389.0,8302448.0,5.441966,0.183757,0.000754,180812.670455,0.000268,175581.984375,0.987217,167651.385458
254,128kB,8,4,8,5,30,8,0.032925,1027399.0,19751239.0,8.912724,0.112199,0.000533,185764.418182,0.000186,183057.4375,0.987217,167362.483068
255,64kB,8,4,8,3,20,8,0.01979,1057619.0,11871526.0,5.357013,0.186671,0.000533,145290.415909,0.000186,144143.40625,0.987217,134230.027888
256,128kB,4,2,16,3,30,8,0.019824,1030869.0,11892249.0,5.366364,0.186346,0.000533,180263.318182,0.000188,175332.372213,0.980469,168048.211155
257,128kB,8,2,8,3,30,8,0.019824,1036244.0,11892249.0,5.366364,0.186346,0.000533,180263.318182,0.000188,175332.372213,0.980469,168048.211155
258,128kB,8,2,8,5,20,4,0.02292,1018925.0,13749189.0,9.012115,0.110962,0.000754,153723.920455,0.000271,148368.718696,0.980469,134264.895418
259,64kB,8,4,16,5,20,0,0.006771,913466.0,4062036.0,9.115573,0.109702,0.002395,153197.3,0.000936,149461.704545,0.987167,134010.13
260,128kB,2,2,8,3,30,0,0.004152,891689.0,2490863.0,5.58972,0.1789,0.002395,180717.954545,0.000949,175322.413793,0.979432,168372.001
261,128kB,8,4,16,3,20,0,0.004117,904662.0,2469856.0,5.542578,0.180421,0.002395,144873.665909,0.000936,144055.611888,0.987167,134003.462
262,128kB,2,4,8,3,20,0,0.004117,921443.0,2469856.0,5.542578,0.180421,0.002395,144873.665909,0.000936,144055.611888,0.987167,134003.462
263,64kB,4,2,16,5,20,8,0.032892,1018559.0,19731124.0,8.903648,0.112314,0.000533,152901.786364,0.000188,148245.766724,0.980469,133833.202191
264,128kB,4,2,8,5,20,0,0.006772,895526.0,4062122.0,9.115766,0.1097,0.002395,152659.313636,0.000949,148170.432759,0.979432,133793.42
265,128kB,8,2,8,5,30,4,0.022953,1002412.0,13769217.0,9.025243,0.1108,0.000754,186097.818182,0.000271,181202.614065,0.980469,167219.692231
266,64kB,8,2,16,3,20,8,0.01979,1043544.0,11871526.0,5.357013,0.186671,0.000533,145495.002273,0.000188,142318.337907,0.980469,133939.465139
267,128kB,2,2,16,3,20,0,0.004118,898492.0,2470079.0,5.543079,0.180405,0.002395,145934.484091,0.000949,141973.791379,0.979432,134041.803
268,128kB,2,2,16,5,30,0,0.006806,902548.0,4082575.0,9.161664,0.10915,0.002395,185900.809091,0.000949,181737.489655,0.979432,167571.841
269,64kB,2,2,16,5,30,0,0.006806,769931.0,4082575.0,9.161664,0.10915,0.002395,185900.809091,0.000949,181737.489655,0.979432,167571.841
270,64kB,2,4,16,3,20,0,0.004117,885302.0,2469856.0,5.542578,0.180421,0.002395,144873.665909,0.000936,144055.611888,0.987167,134003.462
271,64kB,8,2,16,5,20,4,0.02292,1021830.0,13749189.0,9.012115,0.110962,0.000754,153723.920455,0.000271,148368.718696,0.980469,134264.895418
272,128kB,8,4,16,3,30,8,0.019823,1072675.0,11891605.0,5.366073,0.186356,0.000533,180058.731818,0.000186,175694.854167,0.987217,167385.728088
273,64kB,2,2,8,3,30,8,0.019824,1043832.0,11892249.0,5.366364,0.186346,0.000533,180263.318182,0.000188,175332.372213,0.980469,168048.211155
274,64kB,8,2,8,3,30,0,0.004152,868765.0,2490863.0,5.58972,0.1789,0.002395,180717.954545,0.000949,175322.413793,0.979432,168372.001
275,128kB,2,4,8,5,20,8,0.032891,1014549.0,19730925.0,8.903558,0.112315,0.000533,152257.718182,0.000186,149862.142361,0.987217,133816.598606
